prompt,prompt_len,target
UNDERWOOD PARK COMFORT STATION,6,0
CENTRAL PARK WEST AREA A,6,1
NEW DORP POST OFFICE,6,0
LOWER EAST SIDE I BUILDING 2,8,1
ROOSEVELT,5,0
CAMP GATEWAY FORT WADSWORTH,9,0
GOVERNORS ISLAND THE HILLS,6,1
FIRST PRESBYTERIAN CHURCH FOREST HILLS,9,0
SECOND PROVIDENCE BAPTIST CHURCH,8,1
JAMAICA BAY NATIONAL WILDLIFE REFUGE,9,0
BARROW STREET NURSERY SCHOOL,7,1
STATEN ISLAND ZOO AFRICA WING,8,0
GRAND REHABILITATION & NURSING,9,0
ST JAMES CHURCH,4,1
PS 125 RALPH BUNCHE,9,1
BRONX SHORE FIELD 1,8,1
LA FONDA DEL SOL,6,1
FRENCH DU ST ESPRIT CHURCH,8,1
FAIRVIEW PARK BASEBALL FIELD,7,0
MARKHAM GARDENS BUILDING 6,8,0
LESC SHORT STAY PROGRAM,6,1
SURFSIDE GARDEN MULTICULTURAL COALITION,10,0
MARINERS HARBOR MARI,8,0
MT SINAI BAPTIST CHURCH,8,0
MARKHAM GARDENS BUILDING 22,9,0
BATTERY PARK SEAGLASS CAROUSEL,10,1
CROCHERON HOUSE,5,0
CENTRAL PARK THE BLOCKHOUSE,6,1
FDNY ACADEMY LIBRARY,5,1
KAZAKHSTAN MISSION TO UN,8,1
THE NATIONAL BLACK THEATRE,5,1
DAYSPRING CHURCH,4,1
NYPD HOUSING BOROUGH MANHATTAN,10,1
STUYVESANT TOWN - 18 SO/ 20 SO,16,1
SCHOOL OF SCIENCE & TECHNOLOGY,6,0
SUCCESS ACADEMY CHARTER SCHOOL HARLEM 2,10,1
BEDFORD PARK ELEMENTARY SCHOOL,7,0
TODT HILL FRIENDSHIP CLUB,7,0
USTA PRESIDENTS GATE,6,0
SEWARD PARK EXT HOUSES BLDG 2,12,1
QATAR MISSION TO THE UN,7,1
MARINERS MARSH PARK,6,0
NEW YORK UNIVERSITY 194 MERCER STREET,11,1
WEST   66 STREET OVER AMTRAK,10,1
ENGINE 299 LADDER 152,13,0
COLUMBIA UNIVERSITY SCHERMERHORN EXTENSION,10,1
SAN JOSE DAY NURSERY,6,1
RIIS 2 HOUSES BUILDING 14,11,1
DPR FIVE BORO GARAGE STORAGE,9,1
TRIBOROUGH BRIDGE PLAYGROUND C,8,0
PENA HERRERA PLAYGROUND COMFORT STATION,9,0
KOCH BR PEDESTRIAN AND BIKE PATH,11,1
CLAREMONT REHAB GROUP 4 BUILDING 1,12,0
RIVERBANK PARK AMPHITHEATER,10,1
NORTH RIVER TUNNEL NORTH TUBE,7,1
PS 186 CASTLEWOOD,8,0
CROWN HEIGHTS PROJECTS BLDG 5,11,0
SHELLBANK BASIN,4,0
ARBUTUS WOODS PARK,7,0
FULTON HOUSES BUILDING 2,8,1
EAST SIDE HOUSE SETTLEMENT HEAD START MILL BROOK CENTER,11,0
HELLGATE POST OFFICE,5,1
STEPPING STONE DAY SCHOOL,6,0
NEW DORP MORAVIAN CHURCH,8,0
CROTONA BLFLD #4-5,10,0
OCEAN BAY (OCEANSIDE) BLDG 7,15,0
HARLEM TEAMS FOR SELF HELP,8,1
BROOKLYN SUPREME COURT CRIMINAL,6,0
KENNEDY CHILD STUDY CENTER,7,1
HUNTERS POINT SOUTH PARK VOLLEYBALL COURTS,12,0
FLOYD BENNETT FIELD,6,0
YMCA CHINATOWN HOUSTON STREET CENTER,10,1
RICHMAN (ECHO) PARK UPPER COMFORT STATION,10,0
WILLETS POINT PLGD,7,0
5 PRECINCT,5,1
PED BR AT 73 ST OVR HHP AMTRAK,15,1
SOUNDVIEW SENIOR CENTER,5,0
NYU BROADWAY BLOCK F,7,1
LAMBS CHURCH OF NAZARENE,8,1
MARKHAM GARDENS BUILDING 23,9,0
RANDALLS ISLAND FIELD 71,9,1
NURSERY SCHOOL AT HABONIM,9,1
LGA - DELTA SHUTTLE,7,0
OKO FARMS AQUAPONICS EDUCATION GARDEN,9,0
PS 220 EDWARD MANDEL,9,0
DORCHESTER SENIOR CENTER,5,0
MARSHES CREEK,5,0
PRL ST TO BKLYN OVER LND ADJ BR,13,1
