prompt,prompt_len,target
"Inside the Former Walmart That Is Now a Shelter for Almost 1,500 Migrant Children.",21,1
Fiona Hill Testifies ‘Fictions’ on Ukraine Pushed by Trump Help Russia.,18,1
Biden and Clinton: Friends With Awkward Twist.,11,1
Eastern States Press Midwest to Improve Air.,9,1
Saudi Explanation of Jamal Khashoggi’s Killing Fails to Squelch Skepticism.,20,1
"Yangon’s Hero, Wielding Power of Stop and Go .",16,1
Karzai Is Said to Doubt West Can Defeat Taliban.,12,1
"Stephen Miller, the Powerful Survivor on the President’s Right Flank.",16,1
Heroin and Alcohol Led to the Deaths of Ex-SEALs.,15,0
"As Iran Erupts in Protest, Tehran Is Notably Quiet.",13,1
Trump Contradicts Pompeo Over Russia’s Role in Hack.,13,1
Friend Says Boston Bombing Suspect Spoke of Building Bomb.,14,0
"Jeanne Guillemin, Who Exposed Soviet Anthrax Lab, Dies at 76.",18,0
"Mueller, in First Comments on Russia Inquiry, Declines to Clear Trump.",17,1
MI5 References Emerge in Phone Hacking Lawsuit.,12,0
Iran Nuclear Deal Gains Momentum With Endorsements of Four House Democrats.,14,0
Scenes of Ruin After Ecuador Earthquake Kills Hundreds.,10,1
"Amid Flow of Leaks, Turkey Moves to Crimp Internet.",13,0
"When Meeting a Congressman, Leave Nothing to Chance.",11,0
Sebelius’s Slow-Motion Resignation From the Cabinet.,15,1
Republicans Reach Out to New Hampshire Women With Softer Tone.,13,1
Suspicions in Boston Attack Turn to Man Seen in Videos.,14,1
ISIS Fighters Are Not Flooding Back Home to Wreak Havoc as Feared.,17,0
"On North Korea, Trump Finds Himself in Same Position as His Predecessors.",18,1
Obama Unveils Stricter Rules Against Segregation in Housing.,13,1
"Train’s Driver Disabled Speed Controls Before Taiwan Crash, Officials Say.",15,0
Worries Over Defense Department Money for ‘Hackerspaces’.,13,1
"In Statement, Queen ‘Supportive’ of Prince Harry and Meghan’s ‘New Life’.",20,0
U.S. Restores Full Ties to Myanmar After Rapid Reforms.,15,1
"Embracing China, Facebook and Himself, Cambodia’s Ruler Digs In.",17,1
Venezuela Opposition Takes Reins of Assembly as Tensions Rise.,13,0
Florida Shutting ‘Pill Mill’ Clinics.,10,1
The Last Place on Earth With Ebola: Getting Guinea to Zero.,14,1
"Three Teams of Coordinated Attackers Carried Out Assault on Paris, Officials Say; Hollande Blames ISIS.",22,1
Egypt Military Aims to Cement Muscular Role in Government.,11,1
Report on Ousted China Official Shows Effort at Damage Control.,13,1
Tension With Russia Rises as U.S. Halts Syria Negotiations.,15,1
G.O.P. Ads Chase Voters at Home and on the Go.,17,1
"Obama Faults F.B.I. on Emails, Citing ‘Incomplete Information’.",19,1
Australian Leader Serves an Unsportsmanlike Warning to Putin.,13,0
"In Far Northwest, a New Border Focus on Latinos.",12,1
"After Europe and Turkey Strike a Deal, Fears Grow That Migrants Will Turn to Italy.",19,0
"Jerome Powell, the Fed Chair Nominee, Sees Continuity if Confirmed.",15,0
Germany Sets Steep Price to Shore Up Euro Zone.,11,1
Tensions on a Campus Mirror Turbulence in a New Tunisia.,13,0
"Two More Sets of Signals Detected, Australian Officials Say.",12,0
Off-Center Fair Forgoes the 4-H for High Heels.,16,0
Libya Democracy Clashes With Fervor for Jihad.,11,1
U.S. Asks Court to Limit Texas on Ballot Rules.,15,1
"John Loengard, Life Photographer and Chronicler, Dies at 85.",18,0
Signs of an Asian Arms Buildup in India’s Missile Test.,16,1
How to Get Trump Voters and Liberals to Talk: Don’t Make Anyone Sit in a Circle.,21,0
Anti-Abortion Marchers Draw Inspiration From an Unlikely Source.,15,0
China Overtakes U.S. at the Box Office.,13,0
Homs Emerges as Turning Point in Shaping Syria’s Future.,15,0
Obama Sends Apology as Afghan Koran Protests Rage.,12,0
Two Hungry Nations Collide Over Fishing.,9,0
"Amid a Slump, a Crackdown for Venezuela.",12,1
"In Russia, Jury Is Something to Work Around.",11,1
Putin Contends Clinton Incited Unrest Over Vote.,12,1
"Trump Aides, Seeking Leverage, Investigate Mueller’s Investigators.",14,1
"Albert Tomei, Judge Who Doomed New York Executions, Dies at 77.",21,0
Niger Adds Its Troops to the War on Boko Haram.,12,0
"In Hong Kong Photographer, China Sees Image of Spy.",12,0
"U.S., in Shift, Backs Arms Embargo for South Sudan as Genocide Risk Rises.",21,0
Greece Tries to Shut a Back Door to Europe.,11,0
Rescuers Are Counted Among Dead as Toll Rises in Russian Mine Blasts.,18,0
Dispute Over Leave Agitated Ft. Hood Soldier Before Shooting.,14,1
"G.O.P.’s Cantor, Looking Past Politics of Debt.",16,1
"Japan’s Nuclear Refugees, Still Stuck in Limbo.",13,1
Body Count Rises as Philippine President Wages War on Drugs.,12,0
16 Arrests in Belgium Terrorism Raids.,11,0
"As Relations Warm With Myanmar, U.S. Will Ease Trade Limits.",16,0
Iran Staggers as Sanctions Hit Economy.,9,1
U.K. Conservative Party Scolded for Rebranding Twitter Account.,16,0
Britain’s Leader Carves Identity as Budget Cutter.,12,1
"Decades Later, Memphis to Compensate Black Sanitation Strikers of 1968.",21,0
"Afghan Votes Come Cheap, and Often in Bulk.",11,1
Democrats’ Plans to Tax Wealth Would Reshape U.S. Economy.,16,1
"Used to Hearing ‘Shabbat Shalom,’ a Historic Jewish Enclave Rings Out With Gunshots.",20,1
Democrats Aim to Limit Corporate Windfall From Trump Tax Cut.,13,1
Hiring Locally for Farm Work Is No Cure-All.,12,1
Report Opens Way to Approval for Keystone Pipeline.,10,1
Book Sets Off Immigration Debate in Germany.,9,0
Panel Hears Grim Details of Venereal Disease Tests.,12,0
"Red Tape Untangled, Young Nepalese Monks Find Ride to Safety.",15,0
Family Troubles Before Killings in Chattanooga.,9,1
"With Republican Gains in Senate, Social Conservatives Tighten Their Grip.",14,0
American Tells of Odyssey as Prisoner of Syrian Rebels.,11,1
Rice Concedes Error on Libya; G.O.P. Digs In.,18,1
How Kamala Harris’s Campaign Unraveled.,11,1
Mexico’s Hardball Politics Get Even Harder as PRI Fights to Hold On to Power.,19,0
"Manafort’s Trial Isn’t About Russia, but It Will Be in the Air.",20,1
"Millions of Indians Trek to the Ganges, and Modi Chases Their Votes.",16,0
An Atypical Unrest Troubles Senegal’s Election Season.,13,0
"In Anatomy of an Afghan Bombing, Clues of a Tangled War.",16,0
Taliban Gun Down 10-Year-Old Militia Hero in Afghanistan.,17,1
Russia Surprises U.S. With Accord on Battling ISIS.,15,1
"Baltimore Case Is Full of Conflicts, Lawyers for Officers Contend.",14,0
Protest’s Old Guard Falls In Behind the Young.,12,1
Hiding Christians in the Basement: Fear and Heroism in a Philippine War Zone.,17,0
Zimbabwe: Robert Mugabe Seeks Elections and Vote on Constitution.,13,0
Coast Guard Sees Cleanup of Spill Lasting Until the Fall.,12,1
Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees.,16,1
G.O.P. Maps Out Waves of Attacks Over Health Law.,16,1
Iranian Students Lashed 99 Times Over Coed Party.,14,0
Uighurs’ Veils Signal Protest Against China’s Restrictions.,15,0
India’s Economic Woes Are Piercing Modi’s Aura of Invulnerability.,19,1
"China, Feeling Left Out, Has Plenty to Worry About in North Korea-U.S. Talks.",22,1
Gates Seeking to Contain Military Health Costs.,9,1
"At a Philippine Hospital, Survivors Face Quiet Despair.",11,1
"Vatican Revises Abuse Process, but Causes Stir.",12,1
A Top Mormon Leader Acknowledges the Church ‘Made Mistakes’.,13,0
"Despite Fumbles, Obama Defends Health Care Law.",12,1
"In a Safer Age, U.S. Rethinks Its ‘Tough on Crime’ System .",21,1
"In Tiny Bean, India’s Dirt-Poor Farmers Strike Gas-Drilling Gold.",18,1
Taliban Chief Rebuked by Religious Leaders in Sign of Turmoil.,16,0
"For Gun Bill Born in Tragedy, a Tangled Path to Defeat.",15,1
White House Offers Rebuttal Before Netanyahu’s Speech.,13,0
"India, Once a Coal Goliath, Is Fast Turning Green.",13,1
Tensions Mount as Israeli Arabs Protest Police Shooting.,11,0
Trudeau Sought Support From Mexico’s President on Nafta.,15,0
"Jeb Bush Is Definitely, Grumpily Running ... Away From Calories.",15,1
Low-Priority Immigrants Still Swept Up in Net of Deportation.,15,1
"Burundi Crackdown Puts Hutus and Tutsis, and the West, on Edge.",20,0
Delay in Dallas Ebola Cleanup as Workers Balk at Task.,12,1
Volunteer Emergency Responders Face a Dilemma: Save Lives or Stay Safe.,15,0
Chad Said to Have Killed Mastermind of Algerian Attack.,12,0
A New ‘Emperor’: Russia Girds for 16 More Years of Putin.,18,0
"Zimbabwe Health Care, Paid With Peanuts.",9,1
Police Tread Lightly as Pandemic Spreads.,9,0
Acosta Defends His Role in Brokering Jeffrey Epstein Plea Deal.,15,1
Mueller Exposes the Culture of Lying That Surrounds Trump.,14,1
Chasm Grows Within G.O.P. Over Spending .,14,1
"Even When They Lost Their Jobs, Immigrants Sent Money Home.",13,0
Solar-Powered Plane Flies for 26 Hours.,12,0
Justices Back Rule Limiting Coal Pollution.,9,1
An Easy and Instant Chemistry on the Trail.,10,0
Navy Deploying Laser Weapon Prototype Near Iran.,10,0
"In the Epicenter of Mexico’s Epicenter, Feeling Like a ‘Trapped Animal’.",20,1
World Economic Leaders Warn of Fallout From Trade War Between U.S. and China.,18,0
Pentagon Says Afghan Forces Still Need Assistance.,10,1
Tunisian Islamic Party Re-elects Moderate Leader.,12,0
"Len Barry, 78, Dies; Soulful Voice of ‘Bristol Stomp’ and ‘1-2-3’.",26,0
Israel Kills 3 Top Hamas Leaders as Latest Fighting Turns Its Way.,15,1
"Stung by Recession, Young Voters Shed Image as Obama Brigade.",14,1
Kurds Move to Retake Dam as U.S. Bombs Weaken ISIS.,18,0
"Hillary Clinton, a Reluctant Star of Her Own Prime-Time Show.",17,1
Anti-Putin Protest Fizzles as Police Sweep Square.,12,0
"ISIS Rears Its Head, Adding to Chaos as Turkey Battles Kurds.",15,1
Kim Jong-nam’s Body Released by Malaysia to North Korea.,15,0
Senate Seeks Bipartisan Formula to Reach Tax Deal.,12,1
Top Trump Officials Reach Truce in Fight Over Tax Law’s Implementation.,16,0
"A Year After Her Killing, Marielle Franco Has Become a Rallying Cry in a Polarized Brazil.",22,0
Pentagon Builds Deterrent Force Against Possible Iranian Attack.,12,0
"Debt Concerns, Once a Core Republican Tenet, Take a Back Seat to Tax Cuts.",19,1
New U.S.-Backed Alliance to Counter ISIS in Syria Falters.,17,1
Philippine Law Would Make 9-Year-Olds Criminally Liable.,17,0
Ukraine Leader Was Defeated Even Before He Was Ousted.,13,1
"As Biden Plans Transition, Republicans Decline to Recognize His Election.",13,1
"Overlooked No More: Alison Hargreaves, Who Conquered Everest Solo and Without Bottled Oxygen.",22,0
Small Comfort as Parents Identify Kidnapped Nigerian Girls on Video.,14,1
Afghan Leader Says U.S. Abets Taliban’s Goal.,15,1
Unity Deal Offers Hope for Palestinians and a Respite for Gaza.,14,1
‘We’re Asking You to Dig Deep’: Biden Seeks to Steady Finances as Allies Fret.,22,1
"Much Changed World, Same Joe Biden Seeking to Undo What Trump Has Done.",16,1
Nanny Who Set Fatal Fire in China Is Sentenced to Death.,14,0
"Crumbling, Destitute Schools Threaten Detroit’s Recovery.",14,1
"Even for This President, It Was a Remarkable Week of Attacks on American Institutions.",18,1
Removal of Chávez Images From Venezuela Capitol Raises Tension.,11,0
A Bus System Reopens Rifts in South Africa.,12,1
Congo Rebels Seize Provincial Capital.,8,0
"As the West Coast Burns, Communities Unravel With Each Death.",14,1
"As Candidates Make Final Pleas, Legal Battles Begin.",11,1
"In the Hard Fall of a Favorite Son, a Reminder of a City’s Scars.",19,1
"Rebels Falter, but Russian Border Buzzes With Military Activity.",15,0
Cockpit Recordings Retrieved in EgyptAir Flight 804 Investigation.,15,0
Federal Executions to Resume Amid a Pandemic and Protests.,14,0
Antonin Scalia Death Puts Swing State Republicans on Spot.,13,0
U.N. Envoys Ask Malaysia to Protect Activists.,15,0
"In Scramble for Coronavirus Supplies, Rich Countries Push Poor Aside.",13,1
Trump Says He’s Unlikely to Sit for Interview in Russia Investigation.,16,0
Obama Cites Limits of U.S. Role in Libya.,14,1
Bahrain Is Nervously Awaiting Report on Its Forgotten Revolt.,13,1
Sexual Assaults in Military Raise Alarm in Washington.,11,1
"Russia Bans Jehovah’s Witnesses, Calling It an Extremist Group.",15,0
"At the White House, an Eerie Quiet and Frustration With the Chief of Staff.",19,0
German Call for Austerity Has Europe Grumbling.,12,0
Pakistani Troops Linked to Abuses Will Lose Aid.,12,1
An Olympics in the Shadow of a War Zone.,11,1
United Methodist Church Announces Plan to Split Over Same-Sex Marriage.,14,1
"In Air Force, Colleague Feared Church Gunman Would ‘Shoot Up the Place’.",19,1
