prompt,prompt_len,target
@mitchelmusso dont you have a uk say now?,14,0
just made a South-Korean email pal. Happy!,12,1
I just wanna be better already,7,1
where are britney g. and allan allan?  they are my favs and i think they are out of town?,26,0
"@overlordtrainee Sigh. It is a sad, lonely profession.",16,0
@CharlieCurve Wait - cool AND a sliding door? That's an oxymoron.,20,1
My parents wachting tv but it is terrible and there is nothing else  me so sad,19,0
"????, ?? #sctest ????? ?? ?????, ?????? ??? ??? ????????, ?? ?? ????? ????  .",23,0
i'm done.haha. HOUSE MD marathon ulet,13,1
"It's 20:50 hs and i'm still at the office...really tired,wanna go home!",27,0
"@lauradawg LOL she is okay, its just he songs are so catchy they get stuck in my head",23,1
May 10 is Human Kindness Day.,10,1
Back home  Had a great time!,9,1
sitting on chloes little trike thingo its a girraffe  ill most probobly get yelled at with in the next minute or so! ohhh well,36,1
listening to some music!,6,1
Such a beautiful morning,5,1
@lucyburchell sorry we didn't get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely,33,0
@Its_Aitana K ??? What??? No way!!!! No,14,0
"alright, so day was going well, but got home, and all my potato salad was gone",20,1
@NewYorkChica I understood you pre-coffee tweet  I'm good,18,1
"@lazakesau &quot;Graverobber, graverobber, sometimes I wonder why I even bother..&quot; Have fun tonight!",33,0
@ Butlers watching Dr. Farmer rock out w/ the hispanic Jimmy Hendrix ... drinking Cosmos,19,1
I miss my mom..  &quot;May angels lead you in&quot;,18,0
"@exoticaleila lmao yea, I saw him on atlpics, yea I try to act like I'm still in atl  lol",31,0
eating truffles  yum!,6,1
"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",33,1
@skooter88 me neither at first...but u gotta go thru somethin first to get there lmao...i almost burnt my house down and that set me str8,35,0
@djnvs LoL! there u go..that's the spirit haha,17,1
Powerdvd doesn't want to play my Pushing Daisies dvd. I only want screenies to make icons with! Copy protection gone bonkers?,31,0
@marismith - just took over the #1 Most Endorsed spot on twindexx.com - thanks to the endorsement by @danholmesiMIND,33,1
is noow calmmm  eating polvoron .. yuumm,15,0
@sparrowstudio They turned out great! And I had a killer workout before-hand so no guilt,22,1
All moved in to our new apartment. So exciting,11,1
@syzygy thank you,7,0
sleep time  big/little lunch tomorrow at olive garden,12,1
PUSH was amazing,4,1
what an awkward day. it sucked,8,0
what a bad day 1 of my close relative has died so i wont be going to florida,20,0
"@WerewolfEmbry No, trying to reason with it. It didn't listen",18,0
Just realized all his fantastic nerdfriends no longer live in Rochester,15,0
Wow Derek Rose got a next student to do his SATs.  so what now? He can't play no more?,27,0
"I just found out that one of my friends, someone who I use to talk to all the time who has disappeared is blocking me from Flickr.",30,0
awake sadly        seeing Leon today !,8,0
@purple_cath a couple of years  I knew you had one but I couldn't find you for awhile..here you are!,29,0
I want cookies for breakfast! Luckily I'm an adult and can do that!,18,1
sometimes i wish things could go back to the way they were the beginning of last summer,18,0
@moonfrye Working extra hours...,9,0
@babygirlparis all ur pic it's so nice  look so cute..oh!!,20,1
